MESS_DATUM,P
2003-10-19,1009.85
2003-10-20,1001.66
2003-10-21,1007.5
2003-10-22,1014.14
2003-10-23,1012.53
2003-10-24,1018.64
2003-10-25,1019.8
2003-10-26,1014.56
2003-10-27,1020.25
2003-10-28,1019.3
2003-10-29,1003.22
2003-10-30,994.43
2003-10-31,988.1
2003-11-01,995.34
2003-11-02,1008.2
2003-11-03,1014.18
2003-11-04,1029.84
2003-11-05,1034.65
2003-11-06,1032.93
2003-11-07,1031.0
2003-11-08,1023.68
2003-11-09,1026.17
2003-11-10,1026.41
2003-11-11,1025.75
2003-11-12,1023.49
2003-11-13,1026.95
2003-11-14,1023.58
2003-11-15,1018.33
2003-11-16,1014.72
2003-11-17,1022.16
2003-11-18,1025.22
2003-11-19,1023.87
2003-11-20,1019.77
2003-11-21,1015.46
2003-11-22,1013.08
2003-11-23,1010.61
2003-11-24,1009.76
2003-11-25,1011.8
2003-11-26,1006.72
2003-11-27,998.87
2003-11-28,1005.51
2003-11-29,1013.39
2003-11-30,1012.51
2003-12-01,1010.83
2003-12-02,1015.47
2003-12-03,1022.33
2003-12-04,1024.3
2003-12-05,1027.91
2003-12-06,1023.15
2003-12-07,1031.65
2003-12-08,1029.78
2003-12-09,1022.41
2003-12-10,1016.7
2003-12-11,1018.92
2003-12-12,1022.8
2003-12-13,1016.38
2003-12-14,1006.08
2003-12-15,1013.43
2003-12-16,1024.42
2003-12-17,1028.51
2003-12-18,1027.05
2003-12-19,1023.21
2003-12-20,1018.5
2003-12-21,1002.85
2003-12-22,1014.0
2003-12-23,1029.22
2003-12-24,1034.58
2003-12-25,1029.61
2003-12-26,1018.58
2003-12-27,1008.08
2003-12-28,1000.17
2003-12-29,1011.82
2003-12-30,1014.72
2003-12-31,1021.56
2004-01-01,1016.85
2004-01-02,1017.38
2004-01-03,1023.67
2004-01-04,1018.42
2004-01-05,1020.57
2004-01-06,1022.63
2004-01-07,1020.06
2004-01-08,1014.47
2004-01-09,1005.4
2004-01-10,1013.94
2004-01-11,1010.37
2004-01-12,1001.7
2004-01-13,993.87
2004-01-14,998.01
2004-01-15,1003.8
2004-01-16,999.9
2004-01-17,999.92
2004-01-18,1016.95
2004-01-19,1016.14
2004-01-20,1007.9
2004-01-21,1019.25
2004-01-22,1023.95
2004-01-23,1023.29
2004-01-24,1018.93
2004-01-25,1014.47
2004-01-26,1006.99
2004-01-27,1000.43
2004-01-28,1001.56
2004-01-29,1002.29
2004-01-30,1015.89
2004-01-31,1013.28
2004-02-01,1017.29
2004-02-02,1021.98
2004-02-03,1029.57
2004-02-04,1030.44
2004-02-05,1026.22
2004-02-06,1019.92
2004-02-07,1013.31
2004-02-08,1010.44
2004-02-09,1025.1
2004-02-10,1030.16
2004-02-11,1022.28
2004-02-12,1032.57
2004-02-13,1031.72
2004-02-14,1025.92
2004-02-15,1023.5
2004-02-16,1027.6
2004-02-17,1026.62
2004-02-18,1020.86
2004-02-19,1022.37
2004-02-20,1023.8
2004-02-21,1014.64
2004-02-22,1005.98
2004-02-23,1011.81
2004-02-24,1016.03
2004-02-25,1008.35
2004-02-26,1002.69
2004-02-27,1000.51
2004-02-28,1004.67
2004-02-29,1016.27
2004-03-01,1027.91
2004-03-02,1028.44
2004-03-03,1029.35
2004-03-04,1026.83
2004-03-05,1024.44
2004-03-06,1020.0
2004-03-07,1023.0
2004-03-08,1027.05
2004-03-09,1027.72
