Date,P
2018-06,1016.5031034482759
2018-07,1015.3622580645161
2018-08,1016.5754838709678
2018-09,1021.2553333333333
2018-10,1018.6012903225807
2018-11,1019.621
2018-12,1020.9503225806451
2019-01,1015.6083870967742
2019-02,1025.1678571428572
2019-03,1018.6251612903226
2019-04,1014.8643333333333
2019-05,1014.8790322580645
2019-06,1016.212
2019-07,1014.8596774193549
2019-08,1016.8293548387096
2019-09,1019.3526666666666
2019-10,1016.3274193548388
2019-11,1007.12
2019-12,1016.0
2020-01,1026.1480645161291
2020-02,1016.6103448275862
2020-03,1018.6796774193548
2020-04,1018.046
2020-05,1020.1277419354839
2020-06,1013.1426666666666
2020-07,1016.5761290322581
2020-08,1013.9490322580644
2020-09,1017.207
2020-10,1013.8525806451613
2020-11,1026.4003448275862
2020-12,1010.5477419354838
